destination,state,region,lat,lon,vibe,emotion_tags,landscape,best_season,activities,nearby_attractions,description
India Gate,Delhi,North,28.63576,77.22445,reflective patriotic historic,reflective patriotic historic,War Memorial in Cold climate,October-March,"Sightseeing, Photography, Walking","Purana Qila, Rashtrapati Bhavan, Connaught Place","India Gate is a renowned war memorial located in delhi (North). Experiencing a cold climate, it offers a reflective patriotic historic atmosphere. It is well-suited for a low budget and holds a popularity score of 3.8 out of 5."
Humayun's Tomb,Delhi,North,28.63576,77.22445,historic peaceful architectural,historic peaceful architectural,Tomb in Cold climate,October-March,"Historical tour, Photography, Walking","Gurudwara Bangla Sahib, Qutub Minar, Dilli Haat","Humayun's Tomb is a renowned tomb located in delhi (North). Experiencing a cold climate, it offers a historic peaceful architectural atmosphere. It is well-suited for a low budget and holds a popularity score of 2.86 out of 5."
Akshardham Temple,Delhi,North,28.63576,77.22445,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Cold climate,October-March,"Praying, Meditation, Sightseeing","Dilli Haat, National Museum, Gurudwara Bangla Sahib","Akshardham Temple is a renowned temple located in delhi (North). Experiencing a cold climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.92 out of 5."
Waste to Wonder Park,Delhi,North,28.63576,77.22445,fun exciting energetic thrilling,fun exciting energetic thrilling,Theme Park in Cold climate,October-March,"Rides, Entertainment, Family activities","Rashtrapati Bhavan, Purana Qila, Gurudwara Bangla Sahib","Waste to Wonder Park is a renowned theme park located in delhi (North). Experiencing a cold climate, it offers a fun exciting energetic thrilling atmosphere. It is well-suited for a low budget and holds a popularity score of 2.568 out of 5."
Jantar Mantar,Delhi,North,28.63576,77.22445,educational curious scientific,educational curious scientific,Observatory in Cold climate,October-March,"Stargazing, Educational tours, Photography","Chandni Chowk, Rashtrapati Bhavan, Safdarjung Tomb","Jantar Mantar is a renowned observatory located in delhi (North). Experiencing a cold climate, it offers a educational curious scientific atmosphere. It is well-suited for a low budget and holds a popularity score of 2.644 out of 5."
Chandni Chowk,Delhi,North,28.63576,77.22445,bustling vibrant chaotic colorful,bustling vibrant chaotic colorful,Market in Cold climate,October-March,"Shopping, Street food tasting, Walking","Hauz Khas Village, Connaught Place, National Crafts Museum","Chandni Chowk is a renowned market located in delhi (North). Experiencing a cold climate, it offers a bustling vibrant chaotic colorful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.62 out of 5."
Lotus Temple,Delhi,North,28.63576,77.22445,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Cold climate,October-March,"Praying, Meditation, Sightseeing","Rashtrapati Bhavan, Dilli Haat, National Crafts Museum","Lotus Temple is a renowned temple located in delhi (North). Experiencing a cold climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.936 out of 5."
Red Fort,Delhi,North,28.63576,77.22445,historic majestic grand,historic majestic grand,Fort in Cold climate,October-March,"Heritage walk, Photography, Exploring","Chandni Chowk, Safdarjung Tomb, Connaught Place","Red Fort is a renowned fort located in delhi (North). Experiencing a cold climate, it offers a historic majestic grand atmosphere. It is well-suited for a low budget and holds a popularity score of 3.3 out of 5."
Agrasen ki Baoli,Delhi,North,28.63576,77.22445,architectural mysterious ancient,architectural mysterious ancient,Stepwell in Cold climate,October-March,"Photography, Historical tour","Chandni Chowk, Dilli Haat, Gurudwara Bangla Sahib","Agrasen ki Baoli is a renowned stepwell located in delhi (North). Experiencing a cold climate, it offers a architectural mysterious ancient atmosphere. It is well-suited for a low budget and holds a popularity score of 2.684 out of 5."
Sunder Nursery,Delhi,North,28.63576,77.22445,interesting scenic engaging,interesting scenic engaging,Park in Cold climate,October-March,"Sightseeing, Walking, Photography","Purana Qila, Gurudwara Bangla Sahib, Chandni Chowk","Sunder Nursery is a renowned park located in delhi (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.824 out of 5."
Garden of Five Senses,Delhi,North,28.63576,77.22445,interesting scenic engaging,interesting scenic engaging,Park in Cold climate,October-March,"Sightseeing, Walking, Photography","Hauz Khas Village, Dilli Haat, Jama Masjid","Garden of Five Senses is a renowned park located in delhi (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.552 out of 5."
Lodhi Garden,Delhi,North,28.63576,77.22445,interesting scenic engaging,interesting scenic engaging,Park in Cold climate,October-March,"Sightseeing, Walking, Photography","Purana Qila, Qutub Minar, Connaught Place","Lodhi Garden is a renowned park located in delhi (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.892 out of 5."
National Gallery of Modern Art,Delhi,North,28.63576,77.22445,educational historic quiet,educational historic quiet,Museum in Cold climate,October-March,"Sightseeing, Walking, Photography","National Crafts Museum, Khan Market, National Museum","National Gallery of Modern Art is a renowned museum located in delhi (North). Experiencing a cold climate, it offers a educational historic quiet atmosphere. It is well-suited for a low budget and holds a popularity score of 2.732 out of 5."
National Zoological Park ,Delhi,North,28.63576,77.22445,wildlife nature family-friendly,wildlife nature family-friendly,Zoo in Cold climate,October-March,"Wildlife viewing, Walking, Photography","Gurudwara Bangla Sahib, Hauz Khas Village, Lodhi Gardens","National Zoological Park  is a renowned zoo located in delhi (North). Experiencing a cold climate, it offers a wildlife nature family-friendly atmosphere. It is well-suited for a low budget and holds a popularity score of 2.624 out of 5."
Qutub Minar,Delhi,North,28.63576,77.22445,interesting scenic engaging,interesting scenic engaging,Monument in Cold climate,October-March,"Sightseeing, Walking, Photography","Lodhi Gardens, National Museum, Dilli Haat","Qutub Minar is a renowned monument located in delhi (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.248 out of 5."
National Science Centre,Delhi,North,28.63576,77.22445,interesting scenic engaging,interesting scenic engaging,Science in Cold climate,October-March,"Sightseeing, Walking, Photography","National Crafts Museum, Lodhi Gardens, Rashtrapati Bhavan","National Science Centre is a renowned science located in delhi (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.732 out of 5."
Marine Drive,Maharashtra,West,19.07283,72.88261,interesting scenic engaging,interesting scenic engaging,Promenade in Warm climate,Year-round,"Sightseeing, Walking, Photography","Traditional Bazaars, Old City Quarters, Handicraft Markets","Marine Drive is a renowned promenade located in maharastra (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.3 out of 5."
Gateway of India,Maharashtra,West,19.07283,72.88261,interesting scenic engaging,interesting scenic engaging,Monument in Warm climate,Year-round,"Sightseeing, Walking, Photography","Street Food Alleys, Handicraft Markets, Regional Art Gallery","Gateway of India is a renowned monument located in maharastra (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 4.2 out of 5."
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Maharashtra,West,19.07283,72.88261,educational historic quiet,educational historic quiet,Museum in Warm climate,Year-round,"Sightseeing, Walking, Photography","Local Heritage Museum, Botanical Gardens, Traditional Bazaars","Chhatrapati Shivaji Maharaj Vastu Sangrahalaya is a renowned museum located in maharastra (West). Experiencing a warm climate, it offers a educational historic quiet atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.896 out of 5."
Sanjay Gandhi National Park,Maharashtra,West,19.07283,72.88261,wildlife adventurous green,wildlife adventurous green,National Park in Warm climate,Year-round,"Sightseeing, Walking, Photography","Old City Quarters, Traditional Bazaars, Regional Art Gallery","Sanjay Gandhi National Park is a renowned national park located in maharastra (West). Experiencing a warm climate, it offers a wildlife adventurous green atmosphere. It is well-suited for a low budget and holds a popularity score of 2.8199999999999994 out of 5."
Siddhivinayak Temple,Maharashtra,West,19.07283,72.88261,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Warm climate,Year-round,"Praying, Meditation, Sightseeing","Handicraft Markets, Street Food Alleys, Historical Monuments","Siddhivinayak Temple is a renowned temple located in maharastra (West). Experiencing a warm climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.3 out of 5."
Mahalaxmi Temple,Maharashtra,West,19.07283,72.88261,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Warm climate,Year-round,"Praying, Meditation, Sightseeing","Traditional Bazaars, Local Heritage Museum, Historical Monuments","Mahalaxmi Temple is a renowned temple located in maharastra (West). Experiencing a warm climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.952 out of 5."
Haji Ali Dargah,Maharashtra,West,19.07283,72.88261,interesting scenic engaging,interesting scenic engaging,Religious Shrine in Warm climate,Year-round,"Sightseeing, Walking, Photography","Regional Art Gallery, Traditional Bazaars, Historical Monuments","Haji Ali Dargah is a renowned religious shrine located in maharastra (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.704 out of 5."
Chowpatty Beach,Maharashtra,West,19.07283,72.88261,relaxing sunny tropical calm,relaxing sunny calm,Beach in Warm climate,Year-round,"Sightseeing, Walking, Photography","Traditional Bazaars, Old City Quarters, Regional Art Gallery","Chowpatty Beach is a renowned beach located in maharastra (West). Experiencing a warm climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a low budget and holds a popularity score of 2.6 out of 5."
